,Molecule ChEMBL ID,Smiles,Mols,Standard Value
0,CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45D20>,6.4
1,CHEMBL224940,CCCCN1CCN(C(=O)c2cc(=O)c3c(O)cccc3o2)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C44B30>,27.0
2,CHEMBL2029910,CN1CCN(C(=O)c2cc(Nc3ncc4cc(-c5cncn5C)n(C5CCCC5)c4n3)cn2C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C44CF0>,0.003
3,CHEMBL4794125,O=S(=O)(NCCCNc1nccc(-c2c(-c3cccc(F)c3)nc3sccn23)n1)c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45700>,59.44
4,CHEMBL4860630,O=C(NCCO)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45310>,72.92
5,CHEMBL4745330,COc1cccc2nc(Nc3cccc(NC(=O)c4ccc(N5CCN(C)CC5)c(C(F)(F)F)c4)c3)ccc12,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45230>,79.5
6,CHEMBL4745330,COc1cccc2nc(Nc3cccc(NC(=O)c4ccc(N5CCN(C)CC5)c(C(F)(F)F)c4)c3)ccc12,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C452A0>,61.5
7,CHEMBL4777719,OCc1cn2c3ccccc3c3ccccc3c2c1CO,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C454D0>,1.8
8,CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45540>,5.5
9,CHEMBL2041922,COc1ccc2[nH]c(-c3ccc[nH]3)cc2c1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45E00>,8.3
10,CHEMBL2035659,CCOC(=O)CC(=O)c1sc(Cl)nc1C,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45A80>,48.0
11,CHEMBL2035671,CCOC(=O)C(C)C(=O)c1nccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45EE0>,24.0
12,CHEMBL4776111,Cc1cccc(NC(=O)c2sc3nc4c(cc3c2N)C(=O)CCC4)c1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C45FC0>,68.0
13,CHEMBL4795732,CCN1CCN(c2cc(C(=O)Nc3cccc(Nc4ccc5c(OC)cccc5n4)c3)cc(C(F)(F)F)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C46110>,26.8
14,CHEMBL4758378,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5)ccc4=O)cc3)ccnc2cc1OCCCCCCC(=O)NO,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C46180>,14.59
15,CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,<rdkit.Chem.rdchem.Mol object at 0x00000281E4C461F0>,9.2
