,0,1
0,0,6140
1,2,6086
2,4,5982
3,2017,5805
4,2040,5250
5,428,4643
6,6,4124
7,1556,3586
8,1155,3450
9,598,3446
10,792,3103
11,1083,3016
12,1,2843
13,1990,2806
14,1917,2579
15,8,2544
16,1085,2531
17,1219,2295
18,2039,2231
19,857,2213
20,1863,2193
21,3,2118
22,1723,1933
23,646,1917
24,806,1904
25,19,1869
26,1373,1820
27,51,1792
28,546,1735
29,1850,1722
30,1915,1569
31,791,1489
32,1395,1477
33,2044,1465
34,1034,1356
35,224,1298
36,442,1286
37,1379,1267
38,804,1259
39,534,1230
40,18,1182
41,691,1173
42,1932,1172
43,835,1168
44,1339,1162
45,5,1160
46,1217,1151
47,1849,1135
48,822,1135
49,779,1129
50,837,1120
51,1668,1113
52,2041,1110
53,397,1103
54,1886,1103
55,1008,1090
56,1300,1045
57,1737,1041
58,590,990
59,1173,977
60,232,973
61,808,972
62,80,964
63,626,958
64,1488,936
65,824,930
66,294,918
67,2034,882
68,1731,882
69,1009,861
70,821,847
71,1057,833
72,966,830
73,1389,820
74,1925,813
75,1485,803
76,1114,801
77,1145,795
78,1478,774
79,656,765
80,16,751
81,839,744
82,826,741
83,1223,721
84,1876,714
85,1809,704
86,515,700
87,468,697
88,1466,693
89,1752,689
90,1753,687
91,1983,674
92,1607,653
93,1420,641
94,1778,638
95,503,635
96,1220,635
97,11,635
98,1390,632
99,807,630
100,698,630
101,223,628
102,233,627
103,805,626
104,1358,624
105,1295,624
106,950,621
107,976,614
108,1914,612
109,1235,609
110,1438,603
111,418,596
112,671,596
113,476,595
114,661,593
115,714,592
116,802,589
117,206,585
118,1879,584
119,260,573
120,928,572
121,323,566
122,1657,566
123,431,563
124,1290,546
125,1386,544
126,1720,543
127,1680,542
128,1099,520
129,1330,518
130,1672,518
131,152,517
132,1928,517
133,124,511
134,1704,507
135,951,507
136,555,500
137,1222,500
138,217,500
139,125,498
140,577,491
141,1624,491
142,1273,489
143,1674,486
144,1988,477
145,1216,477
146,982,476
147,1209,476
148,906,473
149,1770,471
150,1048,470
151,1403,470
152,1442,467
153,1642,464
154,1594,463
155,416,462
156,566,461
157,1926,461
158,790,459
159,485,457
160,1708,454
161,1154,453
162,920,451
163,1146,446
164,1950,446
165,1949,443
166,1371,442
167,605,441
168,886,440
169,771,440
170,198,435
171,2023,432
172,1841,428
173,493,427
174,1011,424
175,1479,424
176,1889,424
177,934,423
178,2006,422
179,364,422
180,719,417
181,1666,416
182,767,415
183,1103,415
184,1499,415
185,1349,414
186,148,413
187,1505,412
188,1584,410
189,499,405
190,401,404
191,1979,402
192,871,402
193,1153,401
194,1836,400
195,47,400
196,1194,400
197,1003,399
198,757,397
199,1732,394
200,1087,394
201,1632,392
202,1517,392
203,1762,391
204,922,390
205,987,390
206,1347,389
207,9,388
208,1246,386
209,117,386
210,1286,386
211,1706,385
212,338,384
213,502,382
214,938,382
215,299,381
216,1743,381
217,627,380
218,998,379
219,1598,379
220,1004,378
221,1837,372
222,551,371
223,1270,370
224,715,368
225,1641,367
226,132,367
227,1709,366
228,267,366
229,427,366
230,1071,364
231,1754,363
232,467,362
233,1051,360
234,553,359
235,666,355
236,1806,354
237,1851,354
238,2016,352
239,789,351
240,1698,351
241,743,350
242,827,346
243,498,345
244,635,345
245,565,345
246,231,345
247,1261,344
248,1278,343
249,603,343
250,38,343
251,1721,342
252,1275,341
253,266,340
254,1957,339
255,403,336
256,770,335
257,576,334
258,972,332
259,1614,331
260,975,330
261,1394,329
262,432,328
263,1906,327
264,1264,327
265,1053,326
266,314,325
267,276,324
268,748,324
269,801,323
270,649,321
271,1862,321
272,1205,319
273,2029,318
274,1375,315
275,705,315
276,358,315
277,1274,314
278,1797,313
279,200,313
280,317,312
281,901,312
282,1015,311
283,862,310
284,1553,310
285,1555,310
286,388,309
287,1254,308
288,1151,307
289,1547,306
290,1177,306
291,648,306
292,942,306
293,343,305
294,1072,305
295,820,304
296,1068,304
297,380,304
298,550,304
299,948,303
300,20,303
301,1664,301
302,532,300
303,2018,300
304,226,299
305,1782,299
306,32,298
307,1443,298
308,1638,298
309,761,297
310,1522,296
311,1150,295
312,1922,295
313,1678,294
314,1681,294
315,1673,294
316,17,294
317,668,293
318,1271,293
319,1059,292
320,333,292
321,1786,292
322,759,291
323,1776,290
324,495,290
325,1364,289
326,962,288
327,1276,288
328,1359,287
329,1875,287
330,1560,287
331,1336,287
332,1870,287
333,1413,284
334,1904,283
335,537,283
336,1185,281
337,571,281
338,1545,280
339,512,280
340,1148,280
341,642,280
342,1907,280
343,728,279
344,167,279
345,1369,278
346,86,278
347,1023,278
348,1962,276
349,1124,276
350,528,276
351,739,276
352,1213,274
353,1768,274
354,278,274
355,489,274
356,2009,274
357,595,273
358,1710,272
359,543,272
360,899,272
361,816,272
362,747,272
363,471,272
364,345,271
365,1742,270
366,1774,270
367,133,270
368,1352,269
369,1453,269
370,2035,268
371,183,268
372,876,268
373,1544,267
374,1452,267
375,174,266
376,1920,266
377,813,266
378,483,265
379,1960,265
380,949,265
381,706,265
382,970,265
383,1812,265
384,22,265
385,1822,265
386,557,265
387,1298,264
388,724,264
389,774,264
390,308,264
391,1355,263
392,1982,263
393,1345,263
394,1120,261
395,1639,261
396,298,261
397,1017,261
398,1804,261
399,1112,261
400,1341,260
401,992,260
402,1756,260
403,1857,260
404,1938,260
405,1931,260
406,793,259
407,1566,259
408,1233,259
409,195,258
410,1948,256
411,1745,256
412,1792,255
413,797,255
414,1450,254
415,800,254
416,1956,254
417,1588,253
418,999,253
419,716,253
420,1676,253
421,1110,252
422,488,252
423,114,251
424,1163,251
425,341,250
426,204,250
427,285,250
428,1346,249
429,1066,249
430,936,249
431,454,248
432,887,248
433,1257,247
434,644,247
435,978,247
436,1041,247
437,1662,247
438,402,247
439,1601,245
440,164,245
441,675,245
442,1135,244
443,1385,244
444,570,244
445,1031,244
446,766,244
447,72,244
448,1757,244
449,1644,243
450,775,243
451,1198,243
452,127,242
453,1187,242
454,438,241
455,1429,241
456,79,241
457,440,241
458,1344,241
459,1696,241
460,1895,239
461,1630,239
462,898,238
463,1551,238
464,45,238
465,1763,237
466,474,237
467,620,236
468,636,236
469,1081,236
470,545,236
471,700,236
472,235,236
473,1046,235
474,1483,235
475,46,235
476,2036,235
477,539,234
478,638,234
479,713,234
480,1228,234
481,983,233
482,1667,233
483,683,233
484,126,232
485,1842,232
486,1719,232
487,540,232
488,604,232
489,1826,231
490,1256,231
491,744,231
492,330,231
493,1646,231
494,61,230
495,449,230
496,324,228
497,1557,228
498,242,227
499,1136,227
500,1470,227
501,277,226
502,1374,226
503,730,226
504,465,225
505,1416,225
506,2004,225
507,82,225
508,349,225
509,614,225
510,1405,225
511,788,225
512,1882,225
513,315,224
514,1899,224
515,1067,224
516,1338,224
517,21,224
518,673,224
519,647,224
520,1567,223
521,1971,223
522,1728,223
523,1166,223
524,1179,223
525,348,222
526,1353,222
527,387,222
528,1035,222
529,1200,221
530,339,220
531,1543,220
532,1963,220
533,115,220
